,imbalance_classifier,cross_val_data_time,TP,FP,FN,TN,ACC,PRE,RECALL,F1,AUC,MCC,G_measure
0,EasyEnsembleClassifier,2179,763,0,27,28,0.967,1.0,0.966,0.983,0.983,0.701,0.983
1,RUSBoostClassifier,2179,774,2,16,26,0.978,0.997,0.98,0.989,0.954,0.748,0.989
2,BalancedBaggingClassifier,2179,760,0,30,28,0.963,1.0,0.962,0.981,0.981,0.681,0.981
3,BalancedRandomForestClassifier,2179,751,0,39,28,0.952,1.0,0.951,0.975,0.975,0.63,0.975
